,SERVICE,PART_NAME
837,Drivetrain-Brakes-Rebuild,"['Breathers', 'Kit - Maintenance']"
862,Drivetrain-Brakes-Rebuild,"['Controls-Switching', 'Kit - Maintenance']"
913,Drivetrain-Brakes-Rebuild,['Housing']
922,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Kit - Drivetrain and Steering', 'O-Rings', 'Seals']"
967,Engine-Engine cooling system-Replacement,['Hose Assemblies']
985,Drivetrain-Axle-Rebuild,"['Bars', 'Plates and Strips', 'Trunnions']"
990,Engine-Injector Group-Rebuild,['Valve Cartridges']
992,Engine-Water Pump Group-Rebuild,"['Pulleys', 'Water Pumps']"
1024,Drivetrain-Brakes-Repair,['Hydraulics Filter Components']
1045,Drivetrain-Brakes-Rebuild,['Hubs']
1055,Drivetrain-Axle-Rebuild,"['Bolts and Screws', 'Driveshafts and Joint Groups']"
1101,Drivetrain-Brakes-Rebuild,"['Duo Cone Group', 'Friction Discs']"
1163,Drivetrain-Brakes-Rebuild,['Fasteners Nuts']
1164,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Kit - Drivetrain and Steering']"
1169,Engine-Water Pump Group-Rebuild,['Shaft Seals']
1186,Drivetrain-Brakes-Rebuild,"['Controls-Switching', 'Kit - Drivetrain and Steering']"
1213,Drivetrain-Brakes-Rebuild,"['Kit - Maintenance', 'Valve Groups and Assemblies']"
1245,Engine-Engine cooling system-Replacement,['No Data']
1285,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Hose adapters']"
1311,Engine-Water Pump Group-Rebuild,"['Gaskets', 'O-Rings', 'Seals', 'Water Pumps']"
1352,Drivetrain-Brakes-Rebuild,"['Hose Assemblies', 'Kit - Maintenance']"
1356,Engine-Injector Group-Rebuild,"['Clamps and Clips', 'Gaskets', 'O-Rings', 'Seals']"
1365,Drivetrain-Differential-Repair,['Rotating Seals']
1370,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Kit - Maintenance']"
1375,Drivetrain-Brakes-Rebuild,"['Bars', 'Fasteners Studs', 'Plates and Strips']"
1382,Drivetrain-Brakes-Repair,"['Gaskets', 'O-Rings', 'Retaining Pins', 'Seals']"
1415,Drivetrain-Brakes-Rebuild,"['Friction Discs', 'Separator Plates']"
1444,Drivetrain-Brakes-Rebuild,['Hyd Cylinder Groups']
1477,Engine-Turbo Group-Rebuild,['Cartridges']
1537,Engine-Water Pump Group-Rebuild,"['Washers and Spacers', 'Water Pumps']"
1552,Drivetrain-Brakes-Rebuild,"['Kit - Hydraulics', 'Rotating Seals']"
1560,Engine-Water Pump Group-Rebuild,['Gaskets']
1562,Drivetrain-Brakes-Repair,['Brake Anchor']
1589,Engine-Turbo Group-Rebuild,['Washers and Spacers']
1649,Engine-Injector Group-Rebuild,['Bolts and Screws']
1662,Drivetrain-Brakes-Rebuild,"['Accumulators and Accumulator Components', 'Bars', 'Plates and Strips']"
1717,Drivetrain-Brakes-Rebuild,"['Controls-Switching', 'Kit - Drivetrain and Steering', 'Shims']"
1734,Drivetrain-Brakes-Repair,['Hose Assemblies']
1788,Drivetrain-Brakes-Repair,['Accumulators and Accumulator Components']
1811,Drivetrain-Axle-Rebuild,"['Retaining Rings', 'Thrust Washers']"
1869,Drivetrain-Brakes-Rebuild,"['Joystick Components', 'Springs']"
1887,Drivetrain-Brakes-Repair,['Hose adapters']
1918,Drivetrain-Brakes-Rebuild,"['Screen Filters', 'Springs']"
1933,Drivetrain-Brakes-Repair,['Kit - Hydraulics']
1944,Engine-Engine cooling system-Replacement,['Washers and Spacers']
1950,Drivetrain-Brakes-Rebuild,"['Fluid Filter', 'Kit - Maintenance']"
1981,Drivetrain-Axle-Rebuild,"['Bearings', 'Thrust Washers']"
2015,Drivetrain-Brakes-Repair,['Hose Guards']
2019,Drivetrain-Brakes-Rebuild,"['Hand Levers', 'Springs']"
2041,Engine-Water Pump Group-Rebuild,"['Bearings', 'Water Pumps']"
2074,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Gaskets', 'O-Rings', 'Seals']"
2235,Drivetrain-Brakes-Repair,['Rotating Seals']
2237,Drivetrain-Brakes-Rebuild,"['Kit - Drivetrain and Steering', 'Solid Rods']"
2253,Drivetrain-Axle-Rebuild,['Transmission Cases']
2273,Drivetrain-Brakes-Repair,['Lube Filters']
2287,Engine-Injector Group-Rebuild,"['Gaskets', 'O-Rings', 'Seals', 'Valve Cartridges']"
2317,Engine-Injector Group-Rebuild,['Dowel Pins']
2330,Drivetrain-Axle-Rebuild,"['Bearings', 'Gaskets', 'O-Rings', 'Seals']"
2365,Drivetrain-Brakes-Repair,['Clamps and Clips']
2385,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Springs']"
2399,Drivetrain-Axle-Rebuild,"['Bolts and Screws', 'Driveshafts and Joint Groups', 'Yoke Assemblies']"
2401,Engine-Turbo Group-Rebuild,"['Seals', 'Gaskets', 'O-Rings']"
2403,Engine-Injector Group-Rebuild,"['Dowel Pins', 'Valve Cartridges']"
2406,Drivetrain-Brakes-Rebuild,"['Kit - Drivetrain and Steering', 'Springs']"
2444,Drivetrain-Brakes-Rebuild,"['Hyd Cylinder Piston', 'Kit - Drivetrain and Steering']"
2484,Drivetrain-Brakes-Rebuild,"['Kit - Drivetrain and Steering', 'Valve Groups and Assemblies']"
2487,Drivetrain-Axle-Rebuild,"['Gaskets', 'O-Rings', 'Seals', 'Shims']"
2511,Drivetrain-Differential-Repair,['Oils']
2546,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Gaskets', 'Information Films', 'O-Rings', 'Seals', 'Valve Cartridges']"
2601,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Kit - Maintenance']"
2618,Drivetrain-Brakes-Repair,['Latches']
2623,Engine-Injector Group-Rebuild,"['Injectors', 'Kit - Engines']"
2643,Drivetrain-Differential-Repair,"['Bolts and Screws', 'Washers and Spacers']"
2651,Drivetrain-Brakes-Rebuild,"['Accumulators and Accumulator Components', 'Springs']"
2669,Drivetrain-Brakes-Rebuild,"['Hose adapters', 'Kit - Drivetrain and Steering']"
2707,Drivetrain-Differential-Repair,['Latches']
2710,Drivetrain-Brakes-Repair,['Keys']
2723,Drivetrain-Brakes-Rebuild,"['Controls-Switching', 'Master Cylinders']"
2763,Engine-Injector Group-Rebuild,"['Kit - Engines', 'Washers and Spacers']"
2783,Engine-Water Pump Group-Rebuild,"['Retaining Rings', 'Water Pumps']"
2811,Drivetrain-Brakes-Rebuild,"['Kit - Drivetrain and Steering', 'Master Cylinders']"
2822,Drivetrain-Axle-Rebuild,"['Gaskets', 'O-Rings', 'Seals', 'Spindles']"
2830,Drivetrain-Axle-Rebuild,"['Driveshafts and Joint Groups', 'Gaskets', 'O-Rings', 'Seals']"
2831,Engine-Water Pump Group-Rebuild,"['Gaskets', 'Water Pumps']"
2846,Drivetrain-Axle-Rebuild,"['Bearings', 'Duo Cone Group']"
2863,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Hubs']"
2894,Engine-Turbo Group-Rebuild,['Fasteners Studs']
2895,Drivetrain-Differential-Repair,['Bearings']
2900,Drivetrain-Brakes-Repair,['Bulk Seals']
2934,Drivetrain-Brakes-Rebuild,"['Fasteners Nuts', 'Hubs']"
2955,Drivetrain-Axle-Rebuild,"['Duo Cone Group', 'Gaskets', 'O-Rings', 'Seals', 'Shims']"
2985,Drivetrain-Brakes-Repair,"['Bolts and Screws', 'Clamps and Clips']"
2992,Drivetrain-Brakes-Rebuild,"['Being reviewed', 'Hyd Cylinder Piston']"
3017,Drivetrain-Axle-Rebuild,"['Bars', 'Plates and Strips', 'Thrust Washers']"
3037,Drivetrain-Axle-Rebuild,"['Bolts and Screws', 'Dowel Pins', 'Driveshafts and Joint Groups']"
3117,Drivetrain-Brakes-Repair,['Custom Supports']
3120,Drivetrain-Axle-Rebuild,"['Bars', 'Bearings', 'Plates and Strips']"
3144,Drivetrain-Brakes-Repair,['Springs']
3175,Engine-Water Pump Group-Rebuild,"['Bolts and Screws', 'Water Pumps']"
3201,Engine-Injector Group-Rebuild,"['Bridge', 'Gaskets', 'O-Rings', 'Seals']"
3208,Drivetrain-Brakes-Rebuild,['Brake Piston']
3218,Engine-Turbo Group-Rebuild,['Thermostat']
3249,Drivetrain-Brakes-Rebuild,"['Kit - Maintenance', 'Springs']"
3257,Drivetrain-Brakes-Rebuild,"['Clamps and Clips', 'Kit - Maintenance']"
3280,Drivetrain-Brakes-Rebuild,"['Hose adapters', 'Springs']"
3304,Drivetrain-Brakes-Rebuild,"['Bars', 'Hose Assemblies', 'Plates and Strips']"
3338,Drivetrain-Axle-Rebuild,"['Bearings', 'Driveshafts and Joint Groups']"
3382,Drivetrain-Brakes-Rebuild,"['Fasteners Nuts', 'Fasteners Studs', 'Hose adapters']"
3416,Engine-Water Pump Group-Rebuild,"['Gaskets', 'Shaft Seals']"
3422,Engine-Water Pump Group-Rebuild,"['Gaskets', 'O-Rings', 'Rotating Seals', 'Seals']"
3429,Engine-Water Pump Group-Rebuild,"['Hose adapters', 'Water Pumps']"
3453,Engine-Engine cooling system-Replacement,"['Gaskets', 'O-Rings', 'Seals']"
3454,Drivetrain-Axle-Rebuild,"['Bearings', 'Trunnion Supports']"
3480,Drivetrain-Brakes-Rebuild,"['Kit - Hydraulics', 'Washers and Spacers']"
3520,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Valve Cartridges']"
3524,Drivetrain-Brakes-Rebuild,"['Kit - Maintenance', 'Screen Filters']"
3554,Drivetrain-Brakes-Rebuild,"['Kit - Maintenance', 'Valve In-line']"
3589,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Kit - Hydraulics']"
3603,Drivetrain-Brakes-Repair,['Position Sensors']
3638,Engine-Injector Group-Rebuild,['Clamps and Clips']
3649,Engine-Injector Group-Rebuild,"['Gaskets', 'Kit - Engines', 'O-Rings', 'Seals', 'Washers and Spacers']"
3663,Drivetrain-Brakes-Rebuild,"['Bars', 'Plates and Strips', 'Screen Filters']"
3666,Drivetrain-Brakes-Rebuild,"['Hose Assemblies', 'Kit - Maintenance', 'Retaining Rings']"
3702,Engine-Engine cooling system-Replacement,"['Clamps and Clips', 'Hose Assemblies']"
3734,Drivetrain-Brakes-Rebuild,"['Bars', 'Bolts and Screws', 'Gaskets', 'O-Rings', 'Plates and Strips', 'Seals']"
3735,Drivetrain-Brakes-Rebuild,"['Information Films', 'Kit - Drivetrain and Steering']"
3738,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Kit - Hydraulics', 'O-Rings', 'Seals', 'Springs']"
3807,Engine-Turbo Group-Rebuild,['Gaskets']
3817,Engine-Turbo Group-Rebuild,"['Kit - Engines', 'Turbos and Turbo Groups']"
3839,Engine-Injector Group-Rebuild,"['Bridge', 'Gaskets', 'Kit - Engines', 'O-Rings', 'Seals']"
3842,Engine-Injector Group-Rebuild,['Common Electrical Components']
3851,Engine-Turbo Group-Rebuild,"['Gaskets', 'Kit - Engines', 'O-Rings', 'Seals', 'Turbos and Turbo Groups']"
3864,Drivetrain-Brakes-Rebuild,"['Friction Discs', 'Gaskets', 'O-Rings', 'Seals']"
3867,Drivetrain-Axle-Rebuild,"['Bearings', 'Bolts and Screws']"
3875,Engine-Injector Group-Rebuild,"['Gaskets', 'O-Rings', 'Seals']"
3903,Drivetrain-Differential-Repair,"['Grease', 'No Data']"
3919,Drivetrain-Axle-Rebuild,"['Driveshafts and Joint Groups', 'Rotating Seals']"
3924,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Gaskets', 'O-Rings', 'Seals', 'Valve Cartridges']"
3938,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Gaskets', 'Injectors', 'O-Rings', 'Seals', 'Valve Cartridges']"
3957,Drivetrain-Brakes-Repair,['Grommets']
3958,Drivetrain-Brakes-Rebuild,"['Bearings', 'Kit - Drivetrain and Steering']"
3992,Engine-Water Pump Group-Rebuild,['Impellers']
4049,Drivetrain-Axle-Rebuild,"['Bearings', 'Rotating Seals']"
4066,Drivetrain-Axle-Rebuild,"['Driveshafts and Joint Groups', 'Yoke Assemblies']"
4092,Drivetrain-Differential-Repair,['Angles and Channels']
4105,Drivetrain-Axle-Rebuild,"['Bolts and Screws', 'Driveshafts and Joint Groups', 'Washers and Spacers']"
4129,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Kit - Hydraulics', 'O-Rings', 'Seals']"
4151,Drivetrain-Axle-Rebuild,"['Driveshafts and Joint Groups', 'No Data']"
4169,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Hose adapters', 'Kit - Drivetrain and Steering', 'O-Rings', 'Seals']"
4172,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Fasteners Studs']"
4190,Drivetrain-Brakes-Repair,"['Hydraulics Filter Components', 'Lube Filters']"
4192,Drivetrain-Brakes-Repair,['Controls-Switching']
4194,Drivetrain-Brakes-Rebuild,"['Bars', 'Fasteners Nuts', 'Plates and Strips']"
4196,Engine-Water Pump Group-Rebuild,"['Gaskets', 'Shaft Seals', 'Shafts']"
4229,Drivetrain-Axle-Rebuild,['Bolts and Screws']
4234,Engine-Water Pump Group-Rebuild,['Shafts']
4279,Engine-Injector Group-Rebuild,"['Gaskets', 'Grommets', 'O-Rings', 'Seals', 'Valve Cartridges']"
4305,Drivetrain-Brakes-Repair,['Ignition Switch and Key']
4323,Drivetrain-Brakes-Rebuild,"['Kit - Drivetrain and Steering', 'Kit - Maintenance']"
4357,Drivetrain-Differential-Repair,"['Seals', 'Gaskets', 'O-Rings']"
4366,Drivetrain-Brakes-Rebuild,"['Fluid Filter', 'Kit - Maintenance', 'Valve Cartridges']"
4381,Engine-Engine cooling system-Replacement,['Gaskets']
4389,Drivetrain-Brakes-Repair,"['Gaskets', 'O-Rings', 'Position Sensors', 'Seals']"
4400,Drivetrain-Brakes-Rebuild,"['Accumulators', 'Dryers', 'Kit - Maintenance', 'Receivers']"
4408,Drivetrain-Brakes-Rebuild,"['Breathers', 'Master Cylinders']"
4417,Drivetrain-Axle-Rebuild,"['Bearings', 'Dowel Pins', 'Gaskets']"
4457,Drivetrain-Brakes-Rebuild,"['Fasteners Nuts', 'Kit - Drivetrain and Steering']"
4472,Drivetrain-Brakes-Rebuild,"['Controls-Switching', 'Hose adapters', 'Kit - Hydraulics']"
4474,Drivetrain-Brakes-Rebuild,"['Controls-Switching', 'Gaskets', 'O-Rings', 'Seals', 'Springs']"
4475,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Fasteners Studs', 'Hyd Cylinder Piston']"
4477,Drivetrain-Brakes-Repair,"['Gaskets', 'O-Rings', 'Seals']"
4501,Drivetrain-Brakes-Rebuild,"['Joystick Components', 'Kit - Hydraulics']"
4543,Drivetrain-Axle-Rebuild,"['Bolts and Screws', 'Driveshafts and Joint Groups', 'Retaining Pins']"
4546,Drivetrain-Brakes-Rebuild,"['Hydraulics Filter Components', 'Kit - Maintenance', 'Screen Filters']"
4551,Drivetrain-Brakes-Rebuild,"['Joystick Components', 'Kit - Drivetrain and Steering']"
4574,Drivetrain-Brakes-Rebuild,"['Bars', 'Housing', 'Plates and Strips']"
4582,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Gaskets', 'Hose adapters', 'O-Rings', 'Seals', 'Valve Cartridges']"
4593,Drivetrain-Brakes-Rebuild,"['Bearings', 'Kit - Drivetrain and Steering', 'Valve Cartridges']"
4632,Engine-Injector Group-Rebuild,['Information Films']
4641,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Hyd Cylinder Piston', 'Kit - Drivetrain and Steering', 'O-Rings', 'Seals']"
4642,Engine-Engine cooling system-Replacement,"['Gaskets', 'O-Rings', 'Seals', 'Thermostat']"
4673,Drivetrain-Brakes-Rebuild,"['Spherical Balls', 'Springs']"
4692,Drivetrain-Brakes-Rebuild,"['Hose adapters', 'Kit - Hydraulics', 'Tanks']"
4702,Engine-Water Pump Group-Rebuild,"['Gaskets', 'O-Rings', 'Seals', 'Washers and Spacers', 'Water Pumps']"
4713,Engine-Water Pump Group-Rebuild,"['Gaskets', 'Rotating Seals', 'Shaft Seals']"
4730,Drivetrain-Axle-Rebuild,"['Bolts and Screws', 'Driveshafts and Joint Groups', 'Rotating Seals']"
4731,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Separator Plates', 'Washers and Spacers']"
4772,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Hyd Cylinder Piston', 'O-Rings', 'Seals']"
4776,Drivetrain-Brakes-Rebuild,"['Kit - Maintenance', 'Other Metallic Covers']"
4804,Drivetrain-Brakes-Repair,"['Bolts and Screws', 'Gaskets', 'O-Rings', 'Seals', 'Washers and Spacers']"
4812,Drivetrain-Differential-Repair,"['Bolts and Screws', 'No Data']"
4836,Drivetrain-Brakes-Rebuild,"['Controls-Switching', 'Springs']"
4852,Engine-Injector Group-Rebuild,"['Gaskets', 'Hose adapters', 'O-Rings', 'Seals', 'Valve Cartridges']"
4920,Engine-Turbo Group-Rebuild,['Bolts and Screws']
4930,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Kit - Engines']"
4952,Drivetrain-Brakes-Repair,['Connector Components']
4953,Drivetrain-Brakes-Rebuild,"['Friction Discs', 'Joystick Components']"
4966,Drivetrain-Brakes-Rebuild,"['Bars', 'Hose adapters', 'Plates and Strips']"
4973,Drivetrain-Brakes-Rebuild,"['Kit - Maintenance', 'Valve Components']"
4980,Drivetrain-Brakes-Rebuild,"['Breathers', 'Gaskets', 'Kit - Maintenance', 'O-Rings', 'Seals']"
4988,Drivetrain-Brakes-Rebuild,"['Controls-Switching', 'Hose Assemblies', 'Kit - Drivetrain and Steering', 'No Data', 'Solid Rods']"
5030,Engine-Water Pump Group-Rebuild,"['Belts', 'Water Pumps']"
5033,Engine-Injector Group-Rebuild,['Washers and Spacers']
5034,Drivetrain-Brakes-Rebuild,['Shims']
5071,Drivetrain-Brakes-Rebuild,"['Brake Valves', 'Kit - Drivetrain and Steering']"
5079,Drivetrain-Brakes-Repair,['Retaining Rings']
5090,Engine-Injector Group-Rebuild,"['Gaskets', 'Kit - Engines', 'O-Rings', 'Seals']"
5118,Engine-Water Pump Group-Rebuild,"['Kit - Engines', 'Water Pumps']"
5120,Drivetrain-Brakes-Repair,"['Controls-Switching', 'Foot Pedal']"
5146,Engine-Turbo Group-Rebuild,"['Fasteners Studs', 'Kit - Engines']"
5151,Engine-Turbo Group-Rebuild,"['Hose Assemblies', 'Turbos and Turbo Groups']"
5215,Drivetrain-Brakes-Repair,"['Position Sensors', 'Valve Cartridges']"
5226,Drivetrain-Brakes-Rebuild,"['Bars', 'Bolts and Screws', 'Caps and Plugs', 'Plates and Strips', 'Separator Plates']"
5250,Drivetrain-Axle-Rebuild,"['Bars', 'Driveshafts and Joint Groups', 'Plates and Strips', 'Yoke Assemblies']"
5275,Drivetrain-Differential-Repair,"['Thrust Washers', 'Washers and Spacers']"
5283,Engine-Water Pump Group-Rebuild,"['Gaskets', 'Rotating Seals', 'Shaft Seals', 'Shafts']"
5303,Drivetrain-Brakes-Rebuild,['Bearings']
5304,Drivetrain-Brakes-Rebuild,"['Fasteners Studs', 'Gaskets', 'Hose adapters']"
5322,Drivetrain-Brakes-Repair,"['Bolts and Screws', 'Washers and Spacers']"
5331,Engine-Injector Group-Rebuild,['Hose adapters']
5333,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Dealer Shop Supplies and Specialty']"
5341,Drivetrain-Brakes-Rebuild,"['Fasteners Nuts', 'Kit - Maintenance', 'Trays']"
5366,Drivetrain-Brakes-Rebuild,"['Bearings', 'Kit - Maintenance']"
5393,Engine-Turbo Group-Rebuild,"['Kit - Engines', 'Tube and Bellows Assemblies']"
5409,Drivetrain-Brakes-Rebuild,"['Hose Assemblies', 'Kit - Drivetrain and Steering']"
5415,Drivetrain-Brakes-Rebuild,"['Brake Valves', 'Kit - Maintenance']"
5436,Drivetrain-Brakes-Rebuild,"['Fasteners Studs', 'Gaskets']"
5453,Drivetrain-Brakes-Rebuild,"['Kit - Maintenance', 'Valve Cartridges']"
5465,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Dowel Pins', 'Gaskets', 'Hose adapters', 'O-Rings', 'Seals', 'Valve Cartridges']"
5473,Drivetrain-Brakes-Rebuild,"['Friction Discs', 'Hose adapters', 'Valve Components']"
5475,Drivetrain-Brakes-Rebuild,"['Bars', 'Clamps and Clips', 'Plates and Strips']"
5512,Drivetrain-Brakes-Rebuild,"['Clamps and Clips', 'Springs']"
5523,Engine-Injector Group-Rebuild,"['Gaskets', 'Injectors', 'Kit - Engines', 'O-Rings', 'Seals']"
5545,Drivetrain-Brakes-Rebuild,"['Bars', 'Hubs', 'Plates and Strips']"
5556,Drivetrain-Brakes-Rebuild,"['Bars', 'Caps and Plugs', 'Hose adapters', 'Plates and Strips', 'Valve Components']"
5561,Drivetrain-Brakes-Rebuild,"['Kit - Hydraulics', 'Retaining Rings', 'Rotating Seals']"
5566,Drivetrain-Brakes-Repair,"['Bearings', 'Gaskets', 'O-Rings', 'Seals']"
5596,Drivetrain-Brakes-Rebuild,"['Fluid Filter', 'Kit - Drivetrain and Steering']"
5606,Engine-Turbo Group-Rebuild,['Clamps and Clips']
5649,Drivetrain-Differential-Repair,['Clamps and Clips']
5669,Drivetrain-Brakes-Rebuild,"['Fasteners Studs', 'Hose adapters']"
5682,Engine-Injector Group-Rebuild,['Custom Supports']
5685,Drivetrain-Brakes-Rebuild,"['Controls-Switching', 'Gaskets', 'Kit - Drivetrain and Steering', 'O-Rings', 'Seals']"
5690,Drivetrain-Axle-Rebuild,"['Bolts and Screws', 'Shafts']"
5696,Drivetrain-Brakes-Rebuild,"['Brake Anchor', 'Housing', 'Rings']"
5722,Drivetrain-Brakes-Rebuild,"['Bars', 'Duo Cone Group', 'Plates and Strips']"
5731,Engine-Engine cooling system-Replacement,['Caps and Plugs']
5732,Engine-Water Pump Group-Rebuild,"['Clamps and Clips', 'Washers and Spacers']"
5754,Drivetrain-Brakes-Rebuild,"['Kit - Maintenance', 'Other Metallic Covers', 'Other Non-Metallic Covers and Supports']"
5775,Drivetrain-Axle-Rebuild,"['Driveshafts and Joint Groups', 'Washers and Spacers']"
5795,Drivetrain-Brakes-Rebuild,"['Duo Cone Group', 'Hyd Cylinder Piston']"
5800,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Hose Assemblies', 'Kit - Maintenance', 'O-Rings', 'Seals']"
5827,Drivetrain-Differential-Repair,"['Bars', 'Bearings', 'Gaskets', 'O-Rings', 'Plates and Strips', 'Seals', 'Washers and Spacers']"
5841,Drivetrain-Brakes-Rebuild,"['Controls-Switching', 'Gaskets', 'Kit - Drivetrain and Steering', 'O-Rings', 'Seals', 'Solid Rods']"
5884,Drivetrain-Brakes-Rebuild,"['Fasteners Nuts', 'Gaskets']"
5893,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Dealer Shop Supplies and Specialty', 'Injectors']"
5916,Drivetrain-Brakes-Rebuild,"['Bars', 'Plates and Strips', 'Springs']"
5957,Drivetrain-Brakes-Rebuild,"['Breathers', 'Gaskets', 'Kit - Maintenance']"
5961,Drivetrain-Brakes-Rebuild,"['Hose adapters', 'Springs', 'Washers and Spacers']"
5990,Drivetrain-Brakes-Rebuild,"['Kit - Hydraulics', 'Valve Cartridges']"
6013,Drivetrain-Axle-Rebuild,"['Bars', 'Bolts and Screws', 'Driveshafts and Joint Groups', 'Plates and Strips', 'Yoke Assemblies']"
6046,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Kit - Drivetrain and Steering', 'Master Cylinders', 'O-Rings', 'Seals', 'Solid Rods']"
6059,Drivetrain-Brakes-Repair,['Shims']
6073,Drivetrain-Brakes-Rebuild,"['Controls-Primary', 'Gaskets', 'Kit - Hydraulics', 'O-Rings', 'Rotating Seals', 'Seals']"
6078,Drivetrain-Brakes-Rebuild,"['Bars', 'Bolts and Screws', 'Plates and Strips']"
6082,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Kit - Drivetrain and Steering', 'Kit - Maintenance']"
6104,Drivetrain-Brakes-Rebuild,"['Bars', 'Plates and Strips', 'Shims']"
6142,Drivetrain-Brakes-Repair,['Pins']
6160,Drivetrain-Differential-Repair,"['Gaskets', 'Grease', 'O-Rings', 'Seals']"
6167,Drivetrain-Brakes-Rebuild,"['Friction Discs', 'Hyd Cylinder Piston']"
